Cycle_Index,Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),RUL
145.0,2072.91,627.6000000000931,3.947,3.467,4537.112999999896,5516.31,9166.0,963
651.0,1424.73,370.1999999992549,3.843,3.618,2456.3829999994487,3320.38,8168.23,457
795.0,1297.34,356.6666666660458,3.871,3.631,2210.320000000298,2960.32,7774.56,313
860.0,1258.31,350.6666666660458,3.853,3.622,2060.31299999915,2816.31,8073.81,248
918.0,1170.49,320.0,3.831,3.659,1844.3519999999555,2564.35,7792.35,190
977.0,1050.38,286.0,3.823,3.668,1574.375,2204.38,7722.88,137
463.0,1621.77,467.011750000529,3.939,3.537,3194.343999999576,4076.34,8310.14,651
859.0,1044.0,283.7922077924013,3.824,3.668,1530.6607142854482,2168.38,8131.81,244
34.0,2220.72,844.780999999959,4.043,3.38,5104.359000000055,6077.38,9280.16,1074
140.0,2056.31,715.2309999996796,3.997,3.432,4630.731600000523,5588.31,9098.22,963
862.0,1143.12,316.0,3.846,3.922,1508.3129999991506,2312.31,8370.62,252
923.0,1080.0,294.38961038924754,3.815,3.672,1602.5197142865509,2276.23,7640.23,211
1087.0,962.62,251.4642857145518,3.793,3.695,1326.8120000008494,1916.31,7137.44,21
499.0,1628.9,476.5622857147828,3.928,3.542,3831.5520000001416,4904.35,10004.19,609
209.0,1977.98,652.7999999998137,3.978,3.461,4328.384000000544,5264.38,8968.42,903
569.0,1566.88,462.0,3.915,3.545,2966.3120000008494,3824.31,8148.88,539
232.0,1930.47,628.7999999998137,3.977,3.784,4124.280999999493,5048.28,8896.44,880
1051.0,1008.0,275.3406593408436,3.823,3.692,1448.34299999848,2096.34,7352.34,54
522.0,1592.53,424.813000000082,3.887,3.869,2842.343999999576,3815.33,8628.17,586
1106.0,930.81,247.96638655476272,3.811,3.706,1244.375,1844.38,7072.19,7
786.0,1294.69,356.5,3.858,3.626,2168.375,2960.38,7796.31,322
1034.0,847.19,213.0,3.791,3.73,1064.375,1592.38,6961.59,78
318.0,1876.47,598.0,3.972,3.484,3997.158999999985,4904.36,8403.97,790
882.0,1232.88,343.3333333339542,3.849,3.626,1998.660714285448,2744.38,8069.0,226
340.0,1753.81,526.0,3.957,3.528,3586.7750000003725,4472.38,8424.47,772
1091.0,794.69,189.11999999918044,3.778,3.738,962.375,1484.38,6792.5,21
575.0,1576.81,480.0,3.914,3.741,2919.3120000008494,3871.0,8444.38,538
626.0,1548.0,456.0,3.909,3.559,2936.344000000506,3788.34,8288.34,479
533.0,1502.69,419.3142857141793,3.921,3.564,2828.313000000082,3680.31,8246.28,581
42.0,2203.38,828.0,4.038,3.382,5069.280999999959,6028.25,9317.72,1072
390.0,1743.33,524.0,3.956,3.515,3586.7900000000373,4508.39,8717.86,713
483.0,1487.52,425.1428571427241,3.92,3.583,2744.321000000462,3608.32,8044.26,629
636.0,1523.69,438.4285714291036,3.899,3.562,2840.375,3680.38,8098.41,472
761.0,1175.69,319.3333333339542,3.871,3.636,1880.375,2600.38,7650.44,347
915.0,1170.08,321.3333333339542,3.841,3.657,1864.825428573415,2564.25,7590.62,193
401.0,1796.16,556.0,3.96,3.514,3716.351999999024,4616.35,8460.54,707
320.0,1857.8,574.0,3.974,3.499,3944.327999998816,4868.33,8712.0,788
522.0,1641.62,506.375,3.926,3.828,3143.0,4088.0,8603.0,583
30.0,2236.52,888.0,4.05,3.361,5153.3910000000615,6126.38,9159.78,1078
638.0,1512.0,444.4197142850608,3.906,3.564,2834.3120000008494,3680.31,8180.31,467
709.0,1219.81,334.0,3.862,3.635,1993.4238571431488,2744.28,8144.28,394
966.0,1144.94,306.5454545449465,3.816,3.686,1710.5987142845988,2420.31,7829.88,142
531.0,1424.41,403.542857144028,3.91,3.601,2588.375,3428.38,7961.31,581
335.0,1848.0,590.0,3.977,3.488,3946.650000000373,4868.25,8540.25,770
831.0,1053.06,291.8571428563446,3.833,3.683,1540.915428571403,2204.34,7395.97,281
641.0,1449.69,412.5,3.886,3.572,2600.344000000506,3428.34,8381.44,467
73.0,2143.45,780.0,4.001,3.4,4904.360000000102,5840.36,9217.25,1041
747.0,1248.0,343.3333333339542,3.855,3.635,2048.18799999915,2816.19,7856.19,387
441.0,1731.94,517.2857142854482,3.958,3.52,3518.321000000462,4436.32,8210.62,672
667.0,1213.86,340.6666666660458,3.874,3.641,1940.3440000005064,2708.34,7632.89,445
272.0,1917.81,542.0,3.924,3.511,4004.3590000001714,4976.36,8887.23,836
866.0,1215.38,332.0,3.854,3.64,1978.089285714552,2708.38,7607.75,242
18.0,2253.6,890.3979999999283,4.045,3.365,5216.319999999949,6175.33,9339.33,1087
440.0,1668.35,438.0,3.907,3.561,3248.3130000010133,4148.31,8316.57,668
1085.0,954.06,257.1428571417928,3.818,3.702,1290.875,1916.38,7135.88,28
916.0,1219.2,340.5092222224921,3.845,3.638,1983.208142854273,2708.35,8184.32,192
138.0,2057.62,709.0,3.997,3.438,4598.375,5552.38,8967.38,970
886.0,1136.75,314.6666666660458,3.86,3.659,1762.1512857154012,2492.44,7405.0,227
239.0,1911.88,618.0,3.976,3.47,4124.343999999575,5048.34,8803.47,873
614.0,1472.73,383.4000000003725,3.856,3.608,2593.159000001848,3464.36,8275.36,494
316.0,1848.0,586.0,3.978,3.495,3968.352000000887,4868.35,8612.35,792
530.0,1581.38,465.0,3.907,3.545,3008.344000000506,3896.34,8694.19,578
407.0,1738.95,518.0,3.952,3.52,3586.7820000005886,4472.38,8579.58,707
934.0,1098.27,300.5454545449465,3.834,3.662,1700.3830000013113,2384.38,7853.98,178
590.0,1478.25,427.542857144028,3.891,3.562,2678.375,3536.38,8668.62,518
270.0,1908.0,628.0313333338127,3.983,3.468,4130.359000000171,5048.36,8684.36,835
706.0,1203.33,337.3333333339542,3.863,3.655,1962.6057142857464,2708.32,7619.45,406
214.0,1992.0,675.2000000001863,3.988,3.455,4407.520000000019,5336.32,8792.32,891
152.0,2049.12,694.7999999998137,3.998,3.441,4586.217999999877,5552.22,8934.06,956
258.0,1935.52,651.2000000001863,3.984,3.459,4190.3849999997765,5120.38,8571.1,850
850.0,1168.88,323.3333333339542,3.866,3.655,1823.740571429953,2564.31,7418.31,263
590.0,1560.38,418.2857142854482,3.87,3.57,2882.375,3752.38,8421.88,518
835.0,1074.19,287.2207792196423,3.819,3.667,1601.375,2276.38,7984.84,273
430.0,1676.8,491.0,3.946,3.529,3368.321000000462,4256.32,8410.4,684
500.0,1631.84,470.5714285718277,3.927,3.556,3176.2229999993,4040.22,8225.22,608
109.0,2114.31,755.2000000001863,4.006,3.414,4760.375,5732.38,8898.38,1004
105.0,2120.19,656.3999999999069,3.954,3.45,4695.513000000268,5660.31,9221.0,1003
386.0,1799.55,556.7999999998137,3.968,3.983,1112.25,2024.25,5742.11,727
637.0,1433.19,372.9000000003725,3.853,3.611,2474.344000000506,3320.34,8221.69,471
437.0,1742.3,525.0,3.959,3.519,3557.952000000514,4472.35,8252.35,676
267.0,1911.39,626.4000000003725,3.974,3.469,4100.382999999449,5012.38,8525.91,841
753.0,1261.19,349.0,3.885,3.63,2090.3120000008494,2888.31,7500.38,360
305.0,1902.11,534.0,3.923,3.522,3968.3519999999553,4904.35,8911.23,803
95.0,2139.09,803.0,4.011,3.394,4868.342999999644,5804.34,8940.06,1013
960.0,1059.81,288.8571428563446,3.826,3.666,1596.875,2240.38,7751.62,152
931.0,1191.39,332.6666666660458,3.838,3.641,1916.390000000596,2636.39,8139.27,177
400.0,1790.05,538.0,3.956,3.487,4299.456000000238,5300.26,9824.93,705
329.0,1858.06,517.0,3.923,3.545,3845.942999999039,4796.34,8777.19,779
117.0,2118.11,729.6000000000931,3.98,3.425,4754.350999999791,5696.35,9222.98,991
235.0,1964.78,658.0,3.981,3.458,4280.311999999918,5228.31,8577.09,873
659.0,1476.0,427.2857142854482,3.881,3.578,2696.3430000003427,3536.34,8432.34,475
309.0,1862.21,583.0,3.967,3.492,3986.2579999994487,4904.26,8747.94,805
