iter	Passed	Remaining
0	120	119931
1	128	64161
2	136	45401
3	145	36347
4	153	30512
5	163	27088
6	171	24294
7	179	22265
8	186	20581
9	196	19412
10	203	18286
11	211	17416
12	218	16583
13	226	15945
14	234	15394
15	243	14964
16	249	14447
17	259	14131
18	266	13748
19	274	13472
20	282	13181
21	290	12935
22	297	12643
23	306	12449
24	312	12204
25	320	12024
26	328	11839
27	337	11711
28	344	11537
29	352	11408
30	360	11274
31	369	11177
32	377	11054
33	385	10965
34	393	10851
35	406	10887
36	424	11038
37	433	10976
38	441	10881
39	451	10832
40	459	10750
41	472	10785
42	484	10773
43	492	10695
44	504	10714
45	517	10731
46	526	10667
47	534	10591
48	541	10512
49	556	10574
50	567	10555
51	576	10505
52	585	10453
53	597	10470
54	604	10394
55	616	10390
56	625	10351
57	633	10288
58	642	10247
59	651	10204
60	661	10176
61	667	10101
62	677	10076
63	683	9994
64	692	9954
65	700	9909
66	709	9874
67	716	9814
68	724	9775
69	731	9724
70	740	9684
71	746	9623
72	754	9578
73	760	9520
74	767	9461
75	774	9421
76	781	9361
77	792	9365
78	799	9320
79	807	9286
80	816	9259
81	826	9250
82	838	9267
83	848	9248
84	857	9229
85	864	9188
86	873	9167
87	880	9130
88	890	9117
89	899	9095
90	909	9082
91	918	9066
92	925	9024
93	932	8989
94	939	8946
95	945	8902
96	952	8871
97	960	8840
98	968	8811
99	974	8771
100	982	8745
101	988	8706
102	996	8681
103	1004	8657
104	1011	8622
105	1018	8593
106	1025	8556
107	1033	8532
108	1040	8507
109	1050	8499
110	1058	8480
111	1074	8515
112	1086	8526
113	1097	8529
114	1114	8574
115	1129	8604
116	1136	8578
117	1146	8568
118	1156	8559
119	1167	8563
120	1176	8548
121	1187	8542
122	1197	8535
123	1203	8501
124	1216	8516
125	1227	8514
126	1235	8492
127	1244	8477
128	1251	8446
129	1258	8425
130	1265	8393
131	1273	8372
132	1279	8341
133	1285	8309
134	1293	8290
135	1299	8258
136	1309	8249
137	1316	8225
138	1324	8206
139	1330	8174
140	1339	8159
141	1346	8134
142	1354	8116
143	1365	8117
144	1375	8110
145	1382	8088
146	1391	8072
147	1402	8071
148	1411	8059
149	1419	8043
150	1425	8016
151	1436	8013
152	1446	8006
153	1454	7988
154	1460	7960
155	1468	7945
156	1474	7919
157	1482	7900
158	1488	7874
159	1496	7857
160	1504	7839
161	1511	7816
162	1517	7794
163	1526	7780
164	1533	7760
165	1539	7736
166	1548	7723
167	1555	7701
168	1562	7682
169	1568	7657
170	1574	7633
171	1580	7610
172	1586	7585
173	1594	7569
174	1601	7548
175	1608	7531
176	1616	7515
177	1622	7493
178	1629	7473
179	1636	7453
180	1643	7438
181	1655	7442
182	1664	7431
183	1673	7423
184	1681	7407
185	1691	7403
186	1699	7388
187	1710	7388
188	1721	7385
189	1729	7371
190	1738	7363
191	1745	7347
192	1754	7338
193	1762	7323
194	1771	7313
195	1779	7298
196	1788	7289
197	1796	7277
198	1804	7262
199	1811	7247
200	1819	7231
201	1825	7212
202	1831	7191
203	1839	7178
204	1847	7165
205	1855	7152
206	1862	7133
207	1869	7119
208	1875	7098
209	1883	7084
210	1890	7069
211	1896	7049
212	1904	7035
213	1910	7017
214	1918	7005
215	1926	6991
216	1933	6977
217	1939	6959
218	1946	6940
219	1953	6925
220	1959	6906
221	1966	6893
222	1973	6874
223	1980	6861
224	1986	6843
225	1992	6824
226	2000	6812
227	2006	6795
228	2015	6785
229	2022	6770
230	2029	6757
231	2036	6739
232	2048	6744
233	2056	6731
234	2063	6717
235	2069	6699
236	2075	6682
237	2081	6664
238	2087	6646
239	2094	6632
240	2100	6616
241	2107	6600
242	2114	6587
243	2120	6571
244	2128	6558
245	2134	6541
246	2141	6527
247	2147	6510
248	2152	6493
249	2159	6479
250	2165	6462
251	2173	6450
252	2179	6434
253	2185	6418
254	2192	6406
255	2198	6389
256	2206	6378
257	2211	6361
258	2217	6344
259	2225	6335
260	2232	6321
261	2239	6308
262	2245	6293
263	2252	6278
264	2258	6263
265	2264	6248
266	2271	6236
267	2277	6220
268	2283	6204
269	2289	6190
270	2295	6175
271	2303	6164
272	2309	6148
273	2314	6133
274	2323	6125
275	2329	6111
276	2336	6099
277	2342	6084
278	2350	6073
279	2355	6057
280	2361	6042
281	2369	6032
282	2374	6017
283	2380	6002
284	2387	5990
285	2394	5976
286	2401	5965
287	2407	5951
288	2414	5940
289	2420	5926
290	2430	5921
291	2437	5910
292	2444	5897
293	2450	5885
294	2456	5871
295	2464	5860
296	2469	5846
297	2475	5831
298	2482	5820
299	2488	5806
300	2495	5795
301	2501	5781
302	2507	5768
303	2514	5757
304	2520	5743
305	2527	5732
306	2535	5722
307	2541	5709
308	2547	5697
309	2553	5684
310	2561	5674
311	2567	5660
312	2572	5647
313	2580	5636
314	2586	5624
315	2593	5614
316	2599	5600
317	2605	5588
318	2611	5575
319	2617	5562
320	2625	5553
321	2631	5540
322	2637	5527
323	2645	5519
324	2652	5508
325	2659	5497
326	2665	5485
327	2672	5475
328	2678	5462
329	2684	5450
330	2691	5440
331	2697	5427
332	2705	5418
333	2710	5405
334	2716	5392
335	2723	5382
336	2729	5370
337	2737	5362
338	2745	5353
339	2752	5342
340	2758	5330
341	2763	5317
342	2770	5307
343	2776	5295
344	2783	5285
345	2790	5275
346	2796	5262
347	2803	5252
348	2809	5240
349	2816	5230
350	2822	5219
351	2828	5206
352	2841	5207
353	2847	5195
354	2853	5183
355	2859	5171
356	2866	5162
357	2872	5150
358	2881	5144
359	2889	5136
360	2899	5133
361	2909	5128
362	2918	5122
363	2924	5110
364	2932	5101
365	2938	5090
366	2945	5080
367	2953	5072
368	2959	5060
369	2965	5050
370	2973	5040
371	2980	5031
372	2986	5020
373	2993	5010
374	2998	4998
375	3004	4986
376	3011	4976
377	3017	4965
378	3023	4953
379	3030	4944
380	3036	4933
381	3044	4925
382	3051	4915
383	3058	4906
384	3064	4895
385	3069	4883
386	3077	4874
387	3083	4863
388	3090	4854
389	3096	4843
390	3102	4832
391	3109	4823
392	3115	4812
393	3122	4803
394	3128	4791
395	3134	4781
396	3142	4772
397	3147	4761
398	3155	4752
399	3162	4744
400	3170	4735
401	3175	4724
402	3183	4715
403	3188	4704
404	3194	4693
405	3201	4684
406	3207	4673
407	3217	4668
408	3223	4657
409	3229	4647
410	3235	4637
411	3241	4626
412	3249	4618
413	3257	4610
414	3263	4600
415	3269	4590
416	3275	4578
417	3282	4570
418	3288	4559
419	3294	4549
420	3300	4538
421	3305	4527
422	3313	4519
423	3319	4509
424	3326	4500
425	3331	4489
426	3337	4478
427	3345	4470
428	3351	4461
429	3360	4455
430	3368	4446
431	3375	4438
432	3381	4427
433	3386	4417
434	3394	4408
435	3399	4398
436	3407	4389
437	3413	4379
438	3418	4368
